Index,Average infiltration rate,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other
IN_2023_17,17.83,791,23500,30,14,6,3,3,1,0,0,0,100,0,0,0,80,0,20,23,40,37,0,0,0.9,0,0,3,0,0,1,0,0,0,0,1,,,,,,
IN_2023_18,1.3,320,12700,40,14,6,3,3,0,0,0,0,100,0,0,0,100,0,0,23,40,37,0,0,0.9,0,0,3,0,0,0,1,0,0,0,1,,,,,,
MI_2022_01,1.68,407,215535,530,2,4,3,3,0,5,0,0,95,0,0,0,80,0,20,36,33,31,0,0,0.25,0,0,3,0,0,1,0,0,1,0,0,,,,,,
MI_2022_02,13.1,1200,210525,175,2,8,3,3,0,100,0,0,0,5,0,0,75,20,0,97,2,1,0,0,0.48,0,0,3,0,0,1,0,0,0,0,1,,,,,,
MI_2022_03,5.06,400,828,2,2,3,3,3,1,0,100,0,0,30,0,0,20,0,50,30,6,4,60,0,4.46,0,0,3,1,0,0,0,0,0,0,1,,,,,,
MI_2022_04,6,62,1291990,20839,18,36,3,3,0,0,100,0,0,0,0,100,0,0,0,95,3,2,0,0,0.11,1,25,3,0,0,0,1,0,0,0,1,,,,,,
MI_2022_05,5.65,650,18731,29,10,14,3,3,0,50,0,0,50,0,0,0,80,20,0,94,1,5,0,0,0.25,0,0,3,0,0,1,0,0,1,0,0,,,,,,
MI_2022_06,1.7,434,22651,52,1,8,3,3,0,100,0,0,0,0,0,0,80,20,0,33,3,4,60,0,0.1,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,100
MI_2022_07,9.58,120,12023,100,14,4,2,2,0,100,0,0,0,0,0,100,0,0,0,96,3,1,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,30,0,0,0,0,100
MI_2022_08,50,3500,87120,25,11,3,1,3,0,0,100,0,0,0,0,0,90,5,5,5,1,0,0,94,0.01,0,0,3,1,0,0,0,0,0,0,1,,,,,,
MI_2022_09,8.36,135,3659,27,2,6,3,3,0,100,0,0,0,0,10,0,80,10,0,99,1,0,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,4,50,0,0,25,25
MI_2022_10,6.31,21000,4530240,216,15,3,1,3,0,100,0,0,0,10,30,0,50,10,0,30,3,2,65,0,0.01,1,10,3,0,0,0,1,0,1,0,0,,,,,,
MI_2022_11,0.89,1400,174240,124,9,3,2,3,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,3,1,0,0,0,0,1,0,0,,,,,,
MI_2022_12,3.82,686,28314,41,1,36,3,3,0,0,0,0,100,0,5,0,90,5,0,97,3,0,0,0,0.28,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
MI_2022_13,2.3,118500,1742400,15,24,12,3,3,0,80,0,0,20,10,5,0,85,0,0,50,4,1,45,0,0.41,1,10,3,0,0,0,1,0,0,1,0,,,,,,
MI_2022_14,3.22,3700,110033,30,1,10,3,3,0,0,100,0,0,0,0,0,90,0,10,65,20,15,0,0,0.5,1,20,3,1,0,0,0,0,0,0,1,,,,,,
MI_2022_15,26.54,1200,89995,75,4,8,3,3,0,20,80,0,0,0,5,0,85,10,0,93,2,5,0,0,0.28,0,0,3,1,0,0,0,0,0,0,1,,,,,,
MI_2022_16,2.89,9500,900124,95,12,12,2,3,0,0,0,0,100,10,10,0,70,10,0,96,3,1,0,0,0.07,0,0,3,0,0,0,1,0,0,0,1,,,,,,
MI_2022_17,0.03,5760,92347,16,7,18,2,2,0,0,100,0,0,5,0,0,95,0,0,95,4,1,0,0,0.2,1,50,3,1,0,0,0,0,1,0,0,,,,,,
MI_2022_18,23.37,365,52490,144,10,12,2,3,0,50,50,0,0,0,0,0,95,5,0,94,1,5,0,0,0.25,0,0,3,1,0,0,0,0,0,0,1,39,0,0,0,75,25
MI_2022_19,13.13,7200,370696,51,19,36,3,3,0,0,0,0,100,10,10,0,50,30,0,93,2,5,0,0,0.25,0,0,3,1,0,0,0,0,0,0,1,,,,,,
MI_2022_20,9.87,1493,22216,15,9,6,1,1,1,10,0,80,10,0,0,0,90,10,0,98,1,1,0,0,0.18,0,0,3,1,0,0,0,0,0,0,1,,,,,,
MI_2023_01,7.64,8959,90627,10,10,14,3,3,1,75,0,0,25,0,0,60,40,0,0,84,9,7,0,0,0.5,0,0,3,0,0,1,0,0,0,0,1,,,,,,
MI_2023_02,7.86,58148,463954,8,22,22,2,3,0,0,20,80,0,0,0,95,0,5,0,95,3,2,0,0,0.1,0,0,2,0,0,0,1,0,0,0,1,,,,,,
MI_2023_03,5.85,69792,5016073,72,22,10,2,3,0,80,0,0,20,0,0,10,85,5,0,95,3,2,0,0,0.1,0,0,1,0,0,0,1,0,0,0,1,,,,,,
MI_2023_04,8.77,8163,79110,10,23,6,2,3,0,40,0,60,0,0,0,100,0,0,0,95,3,2,0,0,0.1,0,0,2,0,0,0,1,0,0,0,1,,,,,,
MI_2023_05,3.2,89760,3049200,34,16,84,2,3,0,67,33,0,0,45,5,0,45,5,0,44,37,19,0,0,0.2,1,5,3,0,0,0,1,0,0,0,1,,,,,,
MI_2023_06,6.82,73436,165964,2,13,22,2,3,0,0,0,0,100,0,5,0,85,5,5,13,43,44,0,0,0.3,0,0,3,0,0,1,0,0,0,0,1,,,,,,
MI_2023_07,27.64,208,1500,7,14,27,2,2,0,100,0,0,0,45,0,0,50,5,0,96,3,1,0,0,0.1,0,0,3,1,0,0,0,0,0,0,1,,,,,,
MI_2023_08,7.35,1342,78749,59,10,12,1,3,0,25,75,0,0,25,0,25,50,0,0,95,1,4,0,0,0.3,1,10,2,1,0,0,0,0,0,0,1,,,,,,
MI_2023_09,34.02,5930,32336,5,2,18,3,3,1,0,50,0,50,15,0,0,75,5,5,97,2,1,0,0,0.5,0,0,3,1,0,0,0,0,0,0,1,18,60,0,0,25,15
MI_2023_10,6.13,13592,40856,3,10,24,2,2,0,0,100,0,0,5,0,0,85,5,5,98,2,0,0,0,0.1,0,0,2,1,0,0,0,0,0,0,1,,,,,,
MI_2023_11,26.61,12015,56099,5,20,36,2,2,0,0,0,100,0,5,10,0,80,5,0,58,22,20,0,0,0.6,1,95,2,0,0,0,1,0,0,0,1,,,,,,
MI_2023_12,0.32,19629,80956,4,20,41,1,2,0,0,0,100,0,5,10,20,60,5,0,58,22,20,0,0,0.6,1,70,2,0,0,0,1,0,0,0,1,,,,,,
MI_2023_13,6.35,6749,19480,3,8,28,3,3,0,50,0,0,50,0,5,0,90,5,0,86,8,6,0,0,0.3,0,0,3,0,0,1,0,0,0,0,1,,,,,,
MI_2023_14,8.19,1999,11742,6,8,35,3,3,0,0,0,0,100,10,10,0,75,5,0,86,8,6,0,0,0.3,0,0,3,0,0,1,0,0,0,0,1,,,,,,
MI_2023_15,3.13,4043,48431,12,13,18,3,3,0,0,0,0,100,55,5,0,25,0,15,93,2,5,0,0,0.3,0,0,3,0,0,0,1,0,1,0,0,,,,,,
MI_2023_16,12.68,3860,1134014,294,7,12,2,1,0,50,0,0,50,30,10,0,60,0,0,32,42,21,5,0,2.6,0,0,1,1,0,0,0,0,1,0,0,,,,,,
MN_2022_01,21.98,807,4792,6,5,38,3,2,1,10,90,0,0,0,0,10,60,30,0,26,16,3,50,5,0.02,0,0,2,0,0,1,0,0,1,0,0,,,,,,
MN_2022_02,8.7,1442,33977,24,9,35,3,3,0,10,90,0,0,0,0,20,70,10,0,26,16,3,50,5,0.02,0,0,3,0,0,1,0,0,0,1,0,,,,,,
MN_2022_03,17.48,4219,8276,2,9,0,2,3,0,10,90,0,0,0,10,20,70,0,0,26,16,3,50,5,0.02,0,0,3,0,0,1,0,0,0,0,1,,,,,,
MN_2022_04,11.13,2949,51401,17,7,18,1,2,0,0,80,0,20,10,10,60,10,0,10,0,0,0,55,45,0,0,0,3,1,0,0,0,1,0,0,0,,,,,,
MN_2022_05,17.36,1225,63162,52,8,1.4,3,3,1,90,10,0,0,10,10,60,0,10,10,88,2,5,0,5,3.49,0,0,2,0,0,1,0,0,0,0,1,18,70,0,0,30,0
MN_2022_06,1.5,2400,22216,9,18,0,3,3,1,0,90,10,0,0,10,90,0,0,0,4,4,18,69,5,0,0,0,3,0,0,1,0,1,0,0,0,,,,,,
MN_2022_07,1.84,4628,18513,4,8,0,2,3,0,20,80,0,0,0,0,10,80,0,10,4,4,18,69,5,0,0,0,3,1,0,0,0,0,1,0,0,,,,,,
MN_2022_08,17.63,10763,28314,3,7,24,3,3,1,0,80,0,20,0,0,20,70,0,10,2,8,21,64,5,0,0,0,3,1,0,0,0,0,0,0,1,,,,,,
MN_2022_09,10.9,3958,5227,1,7,0,3,3,1,0,90,0,10,0,10,20,70,0,0,26,16,3,50,5,0.02,0,0,3,0,0,1,0,0,0,0,1,,,,,,
MN_2022_10,0.05,6662,191664,29,17,18,3,2,0,10,60,10,20,0,10,10,70,10,0,2,8,21,64,5,0,1,5,3,1,0,0,0,1,0,0,0,24,0,60,0,0,40
NY_2022_01,6.93,1435,101495,71,3,14,3,3,1,100,0,0,0,10,10,50,20,0,10,4,7,4,80,5,0.07,1,5,3,0,0,0,1,0,0,0,1,30,50,0,0,0,50
NY_2022_02,11.92,20550,37026,2,3,6,3,3,1,90,10,0,0,10,10,70,0,10,0,3,18,18,61,0,0.31,0,0,3,1,0,0,0,0,0,0,1,18,0,0,0,0,100
NY_2022_03,12.39,260,1045,4,5,13.5,2,2,1,0,0,100,0,40,10,30,20,0,0,14,59,27,0,0,0.5,0,0,3,0,0,1,0,0,0,0,1,12,70,10,10,0,10
NY_2022_04,29.28,116,392,3,5,6,3,3,1,0,100,0,0,20,10,0,0,0,70,8,1,1,80,10,0.04,0,0,3,1,0,0,0,0,0,0,1,34,50,0,0,20,30
NY_2022_05,0.59,2423,46696,19,5,5,3,3,0,100,0,0,0,30,0,70,0,0,0,57,32,11,0,0,59.38,0,0,3,0,0,1,0,0,0,0,1,32,70,0,20,10,0
NY_2022_06,3.95,2697,16901,6,14,6,3,3,1,0,0,0,100,40,10,10,0,30,10,41,42,17,0,0,0.53,1,80,3,0,0,1,0,0,0,0,1,14,80,10,0,10,0
NY_2022_07,21.78,937,12110,13,9,8,2,3,1,0,50,50,0,40,10,0,0,30,20,8,1,1,80,10,0.04,0,0,3,1,0,0,0,0,0,0,1,24,0,0,0,0,100
NY_2022_09,13.81,870,23217,27,1,0,3,3,1,50,50,0,0,20,10,50,20,0,0,14,0,0,0,86,0.06,1,5,3,0,0,0,1,0,0,0,1,36,60,0,4,5,31
NY_2022_10,16.72,1324,12937,10,13,4,3,3,1,0,100,0,0,10,40,0,10,0,40,0,0,0,0,100,0,1,7,3,1,0,0,0,0,0,0,1,4,40,40,10,10,0
NY_2022_11,28.6,646,3136,5,11,2.8,3,3,1,100,0,0,0,0,0,0,0,0,100,94,3,3,0,0,0.29,0,0,3,1,0,0,0,0,0,0,1,29,10,0,0,10,0
NY_2022_12,31.99,2842,236095,83,8,7.9,3,3,1,0,0,100,0,0,0,0,90,10,0,38,41,21,0,0,1.35,0,0,3,0,0,0,1,0,0,0,1,24,88,4,2,6,0
NY_2022_13,3.62,90,2744,30,9,4,1,3,0,70,30,0,0,60,0,0,30,0,10,4,39,50,0,7,0.59,0,0,3,0,0,1,0,0,0,0,1,18,60,0,0,10,30
NY_2022_14,10.49,400,6578,16,7,6,3,3,0,0,10,0,90,60,0,0,30,0,10,0,0,0,0,100,0,0,0,3,0,0,0,1,0,0,0,1,24,50,0,0,10,40
NY_2022_15,3.05,205,1307,6,12,7.1,3,3,1,100,0,0,0,0,0,0,75,0,25,14,17,6,60,3,0.21,0,0,3,1,0,0,0,0,1,0,0,30,50,0,0,0,50
NY_2022_16,14.19,2230,17947,8,7,3.5,3,2,1,0,0,0,100,0,0,100,0,0,0,15,11,4,70,0,0.2,0,0,3,1,0,0,0,0,0,0,1,,,,,,
NY_2023_01,8.51,348,1126,3,9,6,3,3,1,10,40,0,50,0,10,0,90,0,0,20,8,3,69,0,0.1,0,0,3,1,0,0,0,0,0,0,1,28,89,4,2,5,0
NY_2023_02,16.95,8500,1000,0,7,3,3,3,1,0,0,0,100,30,10,0,0,0,60,37,40,23,0,0,0.55,0,0,3,1,0,0,0,0,1,0,0,24,40,46,14,0,0
NY_2023_03,7.5,18735,52409,3,17,3.5,3,3,1,50,0,0,50,60,40,0,0,0,0,76,18,6,0,0,0.5,1,10,3,0,0,1,0,0,0,0,1,30,48,40,12,0,0
NY_2023_04,12.54,26136,855000,33,9,10,3,3,1,0,0,0,100,40,0,20,40,0,0,59,30,11,0,0,0.51,0,0,3,1,0,0,0,0,0,0,1,30,60,25,5,10,0
NY_2023_05,17.56,220,2365,11,7,3,2,2,1,0,100,0,0,90,10,0,0,0,0,37,33,15,0,15,0.8,0,0,3,1,0,0,0,0,1,0,0,16,50,45,5,0,0
NY_2023_06,12.85,245,855,3,6,2,3,3,1,0,70,0,30,75,10,0,0,0,15,5,7,4,79,5,0.1,0,0,3,1,0,0,0,0,0,0,1,16,50,45,5,0,0
NY_2023_07,15.26,75,1100,15,10,2,3,3,1,30,70,0,0,40,0,0,40,0,20,14,17,6,60,3,0.2,0,0,3,1,0,0,0,0,1,0,0,24,50,0,0,0,50
NY_2023_08,14.83,2188,7700,4,11,6,3,3,1,0,0,0,100,90,10,0,0,0,0,66,24,10,0,0,0.3,0,0,3,0,0,0,1,0,0,0,1,7,50,40,10,0,0
NY_2023_09,21.39,2314,61000,26,10,5,3,3,1,100,0,0,0,95,5,0,0,0,0,26,48,21,0,5,0.6,0,0,3,0,0,0,1,0,0,0,1,24,88,4,2,6,0
NY_2023_10,16.46,615,48000,78,11,6,3,2,1,0,0,0,100,95,5,0,0,0,0,41,42,17,0,0,0.5,0,0,3,1,0,0,0,0,0,0,1,24,94,4,2,0,0
NY_2023_11,9.48,984,20593,21,6,24,1,3,0,100,0,0,0,100,0,0,0,0,0,26,62,12,0,0,0.9,0,0,3,0,0,0,1,0,1,0,0,24,89,4,2,5,0
NY_2023_12,13.19,7700,8400,1,16,6,3,2,1,0,0,0,100,40,10,0,50,0,0,65,18,12,0,5,0.6,0,0,3,0,0,0,1,0,0,0,1,21,50,0,0,25,25
NY_2023_13,16.49,436,3297,8,9,3,3,3,0,0,40,0,60,20,10,0,50,0,20,7,2,1,80,10,0.4,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NY_2023_14,13.82,4318,12877,3,9,8,3,2,1,50,50,0,0,50,0,0,50,0,0,20,8,3,69,0,0.1,0,0,3,1,0,0,0,0,0,0,1,30,79,5,3,13,0
NY_2023_15,8.97,2535,23700,9,11,6,3,3,1,30,0,0,70,0,0,0,90,0,10,41,42,17,0,0,0.5,0,0,2,0,0,0,1,0,0,0,1,24,82,5,3,10,0
NY_2023_16,6.7,4334,39000,9,2,12,2,3,1,80,10,0,10,0,0,0,100,0,0,38,41,21,0,0,1.4,0,0,2,0,0,0,1,0,0,0,1,12,88,4,2,6,0
NY_2023_17,16.48,6049,39000,6,2,12,3,2,1,80,10,0,10,0,0,0,100,0,0,38,41,21,0,0,1.4,0,0,2,0,0,0,1,0,0,0,1,24,88,4,2,6,0
NY_2023_18,6.22,800,29700,37,12,4,3,3,1,0,60,0,40,0,0,100,0,0,0,14,12,4,70,0,0.3,0,0,2,1,0,0,0,0,0,0,1,12,61,3,1,35,0
NY_2023_19,15.24,5081,39000,8,10,6,2,3,1,70,0,0,30,10,40,0,40,0,10,40,43,17,0,0,0.5,0,0,3,0,0,0,1,0,0,0,1,24,89,4,2,5,0
OH_2022_01,6.78,12000,1089000,91,7,19.2,3,3,1,0,0,0,100,0,0,50,50,0,0,7,48,41,0,4,0.26,0,0,3,0,1,0,0,0,0,1,0,,,,,,
OH_2022_02,7.2,4000,304920,76,7,0,3,3,0,70,0,0,30,0,0,90,0,10,0,7,48,41,0,4,0.26,0,0,3,0,0,0,1,1,0,0,0,,,,,,
OH_2022_04,17.93,2900,78408,27,6,8.4,3,3,1,100,0,0,0,30,10,50,0,0,0,24,3,3,70,0,0.11,0,0,3,1,0,0,0,0,0,1,0,,,,,,
OH_2022_05,2.35,131000,958320,7,6,12,3,3,1,30,30,0,40,0,10,40,40,0,0,1,1,1,70,27,0.01,0,0,3,0,0,1,0,0,0,1,0,,,,,,
OH_2022_06,16.54,6000,261360,44,6,9.6,2,3,0,80,0,20,0,20,0,80,0,0,0,41,25,9,25,0,0.16,0,0,3,1,0,0,0,0,0,0,1,,,,,,
OH_2022_07,50,1000,174240,174,6,9.6,3,3,1,0,0,0,100,0,10,90,0,0,0,19,50,31,0,0,0.3,0,0,3,0,0,1,0,1,0,0,0,,,,,,
OH_2022_09,18.69,4000,130680,33,6,0,3,2,1,0,0,0,100,0,0,0,90,0,10,17,47,36,0,0,0.46,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
OH_2022_10,11.03,4000,65340,16,8,0,2,2,0,70,30,0,0,40,0,0,10,0,50,1,1,1,70,27,0.01,0,0,2,0,0,1,0,1,0,0,0,,,,,,
OH_2022_12,50,8000,130680,16,6,0,3,3,1,0,100,0,0,20,10,0,0,0,70,0,0,0,0,100,0,0,0,3,1,0,0,0,0,0,1,0,,,,,,
OH_2022_13,12.93,2300,130680,57,6,0,3,2,1,0,30,0,70,0,10,0,70,10,10,0,0,0,100,0,0,0,0,3,0,0,1,0,0,0,1,0,,,,,,
OH_2022_14,50,16000,21780,1,6,16.8,3,3,1,0,100,0,0,10,0,0,10,0,80,24,3,3,70,0,0.08,0,0,3,0,0,1,0,1,0,0,0,,,,,,
OH_2022_16,18.38,2300,43560,19,6,10.8,3,3,1,30,0,0,70,0,30,0,60,10,0,95,1,4,0,0,0.28,0,0,3,1,0,0,0,0,0,1,0,24,80,0,10,0,10
OH_2022_17,50,800,43560,54,5,6,3,3,1,60,20,0,20,0,0,0,40,0,60,19,50,31,0,0,0.3,0,0,3,1,0,0,0,0,0,1,0,,,,,,
OH_2022_18,9.08,5000,130680,26,6,6,2,1,1,0,0,0,100,10,0,0,90,0,0,0,0,0,0,100,80.28,0,0,2,0,0,1,0,0,0,1,0,,,,,,
OH_2022_19,6.55,7000,130680,19,6,18,3,3,1,0,0,0,100,30,0,0,60,10,0,7,65,28,0,0,0.73,1,40,2,0,0,1,0,0,0,1,0,,,,,,
OH_2023_02,4.4,15200,60000,4,6,0,3,3,1,100,0,0,0,0,15,50,15,20,0,49,13,13,25,0,0.31,0,0,2,0,0,1,0,0,1,0,0,24,70,0,20,10,0
OH_2023_03,7.72,5500,50000,9,5,0,3,3,0,40,0,0,60,0,0,0,70,30,0,14,44,22,0,20,0.6,0,0,3,0,0,1,0,0,1,0,0,24,70,10,10,10,0
OH_2023_04,10.37,53000,3600000,68,7,0,3,3,0,0,0,0,100,0,15,0,85,0,0,25,23,17,35,0,0.23,0,0,3,0,0,1,0,0,1,0,0,36,80,0,10,10,0
OH_2023_05,18.97,1830,27000,15,9,15,3,3,1,0,0,0,100,25,15,40,0,20,0,20,51,29,0,0,0.4,0,0,3,0,0,1,0,0,1,0,0,24,70,10,10,10,0
OH_2023_06,13.67,1250,20000,16,9,15,3,3,1,0,0,0,100,25,0,0,45,30,0,20,51,29,0,0,0.4,0,0,3,0,0,1,0,0,1,0,0,24,70,10,10,10,0
OH_2023_07,16.62,10000,140000,14,6,12,3,3,1,0,0,0,100,10,0,80,10,0,0,5,47,48,0,0,0.27,0,0,3,0,0,1,0,0,1,0,0,18,70,10,10,10,0
OH_2023_08,14.02,4400,100000,23,9,8,3,3,1,0,40,0,60,20,20,15,15,30,0,19,3,3,70,5,0.09,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
OH_2023_09,10.49,5000,110000,22,5,8,3,3,1,0,0,0,100,40,10,0,45,5,0,24,3,3,70,0,0.09,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
OH_2023_10,21.47,12300,215000,17,2.5,13,3,2,1,0,0,0,100,30,0,60,0,10,0,0,0,0,100,0,0,1,5,3,0,0,1,0,0,1,0,0,36,80,0,10,10,0
OH_2023_11,17.91,4500,120000,27,5,8.5,3,3,1,0,0,0,100,0,10,30,60,0,0,24,3,3,70,0,0.09,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
OH_2023_12,11.01,4000,130000,33,6,7,3,3,1,0,0,0,100,0,5,55,40,0,0,6,46,48,0,0,0.49,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
OH_2023_13,32.01,15000,170000,11,5,8.5,3,3,1,0,0,0,100,10,20,70,0,0,0,5,44,44,0,7,0.25,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
